exp_a,exp_b,expertise_a,expertise_b,render_a,render_b,Shape,Direction,Length,Position,Duration,source_file
5,5,Beginner,Beginner,r1,r2,0.988864276916396,0.9028941633202784,0.9862488267111512,0.9182870243329608,0.7548285048285048,Beginner_result.csv
5,7,Beginner,Beginner,r1,r2,0.986987987792448,0.8494706837950873,0.9855155048177056,0.9188018467599778,0.7025862068965517,Beginner_result.csv
5,8,Beginner,Beginner,r1,r2,0.9908304542574414,0.9062374475873604,0.9885110907285342,0.8997147707357954,0.7,Beginner_result.csv
5,9,Beginner,Beginner,r1,r2,0.9878308528140382,0.8417388223893718,0.9863990400929116,0.9239649810692012,0.7023719676549866,Beginner_result.csv
7,5,Beginner,Beginner,r1,r2,0.9884477443414476,0.8743164209212747,0.9862503307959132,0.9378714611181596,0.6956462585034013,Beginner_result.csv
7,7,Beginner,Beginner,r1,r2,0.9863780225338477,0.8990178001529395,0.9851745336291317,0.8909524926177311,0.7129909365558912,Beginner_result.csv
7,8,Beginner,Beginner,r1,r2,0.989853310616398,0.894443300867634,0.9902052259977324,0.8571686670308788,0.724324794781589,Beginner_result.csv
7,9,Beginner,Beginner,r1,r2,0.9885042723097772,0.8651528542699067,0.986934725485918,0.91564266459281,0.7469879518072289,Beginner_result.csv
8,5,Beginner,Beginner,r1,r2,0.9882899687613712,0.8768836933103652,0.9852654093276344,0.9107535576095416,0.6919191919191919,Beginner_result.csv
8,7,Beginner,Beginner,r1,r2,0.9849829063356058,0.8614300187562843,0.9838584671096712,0.9120669868554434,0.6824080104200586,Beginner_result.csv
8,8,Beginner,Beginner,r1,r2,0.9894345125042516,0.9069454106692072,0.9871568567527512,0.8992705043178671,0.6891891891891891,Beginner_result.csv
8,9,Beginner,Beginner,r1,r2,0.989144444707048,0.8721281311679219,0.9873519944539324,0.8599874844961612,0.7455621301775148,Beginner_result.csv
9,5,Beginner,Beginner,r1,r2,0.9871257588651424,0.8754410555793237,0.9851194663200666,0.8448510738778561,0.7095048102021031,Beginner_result.csv
9,7,Beginner,Beginner,r1,r2,0.984266727546942,0.8419268494311305,0.9807978436545124,0.8980844763855439,0.7017543859649122,Beginner_result.csv
9,8,Beginner,Beginner,r1,r2,0.9874903312058748,0.8279745637205871,0.9886545466281692,0.8462852715487716,0.7131772165980643,Beginner_result.csv
9,9,Beginner,Beginner,r1,r2,0.9871296611667776,0.8532223042882371,0.9865906902110402,0.8902850992659223,0.7370892018779343,Beginner_result.csv
5,5,Beginner,Beginner,r1,r3,0.9863236906392884,0.8178189428815332,0.9853239112291546,0.935753392494862,0.7372427101200687,Beginner_result.csv
5,7,Beginner,Beginner,r1,r3,0.9879880640163524,0.8511420221823061,0.986837090759884,0.8763672534412762,0.7192518874399452,Beginner_result.csv
5,8,Beginner,Beginner,r1,r3,0.9886191093939488,0.8356306812609564,0.986491397981005,0.9262100462862444,0.6954545454545454,Beginner_result.csv
5,9,Beginner,Beginner,r1,r3,0.9884983185930468,0.8514825152545933,0.9871968151492582,0.9367920639958291,0.7150858983536148,Beginner_result.csv
7,5,Beginner,Beginner,r1,r3,0.9853751019309858,0.8772567857816719,0.982987573774362,0.8973524042407086,0.655360842099099,Beginner_result.csv
7,7,Beginner,Beginner,r1,r3,0.987378698724015,0.8774031117877437,0.9875411147295332,0.9072762447288628,0.6895734597156398,Beginner_result.csv
7,8,Beginner,Beginner,r1,r3,0.987723021480737,0.8720850029116117,0.9868048727949688,0.8938056076223728,0.6546159029649595,Beginner_result.csv
7,9,Beginner,Beginner,r1,r3,0.9880936744391112,0.8849969673939131,0.986859857951144,0.9202082804067048,0.6908396946564885,Beginner_result.csv
8,5,Beginner,Beginner,r1,r3,0.9865037377747672,0.8696256646915635,0.985734968101634,0.9182919770477322,0.6734949832775919,Beginner_result.csv
8,7,Beginner,Beginner,r1,r3,0.9896969563373632,0.9180902457953032,0.9871587387853108,0.8977558163844537,0.7076923076923077,Beginner_result.csv
8,8,Beginner,Beginner,r1,r3,0.9873332222515676,0.8583929435134945,0.987191278467642,0.933241752349003,0.6607849180664715,Beginner_result.csv
8,9,Beginner,Beginner,r1,r3,0.9884493477833604,0.843754024702572,0.9871659356461931,0.8811518619418776,0.7005649717514124,Beginner_result.csv
9,5,Beginner,Beginner,r1,r3,0.9845332106387176,0.7943617691961742,0.9846522120798944,0.9367269864583636,0.6773702537584186,Beginner_result.csv
9,7,Beginner,Beginner,r1,r3,0.9860260732093156,0.8534849959966129,0.9840409027338396,0.8651232216067822,0.6978021978021978,Beginner_result.csv
9,8,Beginner,Beginner,r1,r3,0.9884289337569224,0.8019176750076182,0.986048526460775,0.913542428528325,0.6782178217821782,Beginner_result.csv
9,9,Beginner,Beginner,r1,r3,0.987478427013514,0.841108876421933,0.9876409660597334,0.8362598051593184,0.714859437751004,Beginner_result.csv
5,5,Beginner,Beginner,r2,r3,0.9881764652994622,0.8592998455950083,0.9860668775993292,0.8875795703144551,0.7233361645331554,Beginner_result.csv
5,7,Beginner,Beginner,r2,r3,0.9895344042066369,0.922651043654778,0.988313067199195,0.9366120234788292,0.7568791186679411,Beginner_result.csv
5,8,Beginner,Beginner,r2,r3,0.9886657317680926,0.9091113783528496,0.987748027812091,0.8824136942017233,0.7061453769239411,Beginner_result.csv
5,9,Beginner,Beginner,r2,r3,0.9889534824950597,0.8975627354015412,0.98918489408094,0.935402166040219,0.685329049587865,Beginner_result.csv
7,5,Beginner,Beginner,r2,r3,0.9879576748842608,0.8913180499142783,0.9862152904097728,0.9476632986401826,0.6994271685761048,Beginner_result.csv
7,7,Beginner,Beginner,r2,r3,0.986490322020435,0.8613367742939346,0.9855799158211944,0.883800842863143,0.6557377049180328,Beginner_result.csv
7,8,Beginner,Beginner,r2,r3,0.9872335876777192,0.8864979313111733,0.9867038811062412,0.9311518645583576,0.6391342841195604,Beginner_result.csv
7,9,Beginner,Beginner,r2,r3,0.986689224388084,0.796208783815592,0.9854944413133482,0.9207665811766862,0.6989528795811519,Beginner_result.csv
8,5,Beginner,Beginner,r2,r3,0.9907432666681096,0.90830448723301,0.9901563764443077,0.8784332209496096,0.6751054852320675,Beginner_result.csv
8,7,Beginner,Beginner,r2,r3,0.9905559166756094,0.9117190781636714,0.9896712889766704,0.932010112668981,0.6848076923076922,Beginner_result.csv
8,8,Beginner,Beginner,r2,r3,0.991863980504861,0.9276238429449036,0.9910730998840432,0.8776841069315546,0.6884615384615385,Beginner_result.csv
8,9,Beginner,Beginner,r2,r3,0.992003342630134,0.9107394728746516,0.9898855191005546,0.9402527762488264,0.6941176470588235,Beginner_result.csv
